Length	Freq
1	8
2	32
3	260
4	1090
5	2492
6	4444
7	5975
8	6963
9	7557
10	7031
11	5832
12	4252
13	3063
14	1920
15	1195
16	659
17	370
18	175
19	94
20	48
21	26
22	10
23	2
28	1
